,Code,Name,PER,PBR,ROE,배당수익률,배당성향,Average Daily Return,Average Daily Volatility,Sharpe Ratio
0,005070,코스모신소재,1.0,0.24831490967915876,0.16924141111367305,0.0,0.0,0.001947284757871101,0.03617097909956676,0.053835555640085644
1,026890,스틱인베스트먼트,0.1061091340450771,0.02777028848746292,0.18907078625778187,1.0,0.1655761450476999,0.0011693186404185252,0.037734422105240556,0.030988115762242724
2,067160,SOOP,0.09572953736654805,0.10407117821515231,0.6684344016601337,0.2742382271468144,0.061035912292093306,0.0016346231553499028,0.032535990587304234,0.05024046066658699
3,041190,우리기술투자,0.02236061684460261,0.016716095982744674,0.7203135808162324,0.0,0.0,0.0013046439817851895,0.044718460762634867,0.029174617362395957
4,211050,인카금융서비스,0.03778173190984579,0.05095713130223779,1.0,0.6121883656509696,0.0595874331951451,0.0027664967743707657,0.051733386700600646,0.05347604227771629
5,150840,인트로메딕,0.0,0.9999999999999999,0.0,0.0,0.0,0.001954796834536584,0.04636283691695054,0.042163011681925315
6,182360,큐브엔터,0.10160142348754447,0.031005661903478025,0.290984551533318,0.0,0.0,0.0018509047347035025,0.038391179022899284,0.048211718988872124
7,061970,LB세미콘,0.0,0.018333782690752223,0.0,0.0,0.0,0.001573791094404305,0.03642363443778542,0.04320796424344941
8,089890,코세스,0.3741992882562278,0.1113507684011863,,0.0,0.0,0.0018083283704983994,0.034405526385637056,0.0525592415075883
9,186230,그린플러스,0.0,0.06470746832030196,0.0,0.0,0.0,0.0016512275375989232,0.03705211509755597,0.044565000763150536
10,222160,NPX,0.0,0.082502022108385,0.0,0.0,0.0,0.001991648857172386,0.05377017755160997,0.03704002753683957
11,054930,유신,0.04857651245551601,0.006470746832030194,0.1853816001844593,0.6288088642659281,0.055941261675240994,0.001920557782632121,0.042113695491194404,0.045604114296587735
12,234100,폴라리스세원,0.10201660735468564,0.0035049878673496897,0.07632003689186075,0.0,0.0,0.0012697418647995868,0.042680594823232505,0.02974986337604702
13,072520,제넨바이오,0.0,0.0,0.0,0.0,0.0,0.0006982745659845689,0.04641842345942517,0.015043047866434714
14,084440,유비온,0.0,0.06120248045295226,0.0,0.0,0.0,0.0014789106832385661,0.04988995000201501,0.029643458916652238
15,020120,키다리스튜디오,0.0,0.010514963602049069,0.0,0.0,0.0,0.0019215686721193725,0.03880137870411841,0.04952320603791885
16,002140,고려산업,0.0,0.008627662442706924,0.0,0.221606648199446,0.09100444533240097,0.0012521575926555419,0.04020305365895826,0.031145832932930193
17,002410,범양건영,0.0,0.008627662442706924,0.0,0.0,0.0,0.0015755555567113027,0.042577960805113974,0.03700401632485098
18,058970,엠로,0.0,0.45780533836613635,0.0,0.0,0.0,0.0020400610548007778,0.03418656691582487,0.0596743469393658
19,083450,GST,0.052431791221826805,0.0318145052574818,0.44201060640996087,0.5013850415512466,0.06308376204984767,0.0008610279717484805,0.029199711072281035,0.029487551079429856
20,094360,칩스앤미디어,0.0,0.1515233216500404,0.0,0.0,0.0,0.0013415977381955144,0.03431966503974198,0.039091224714517224
21,079810,디이엔티,0.133926453143535,0.03046643300080884,0.25847359926216285,0.0,0.0,0.0014766915395888443,0.03760338598467393,0.039270174770716176
22,220260,켐트로스,0.23653618030842233,0.06713399838231329,0.17339174544616093,0.0,0.0,0.0013032988591735455,0.037824017217299846,0.034456912698777174
23,232680,라온테크,0.17366548042704627,0.07225667295767052,0.26285450772423335,0.08864265927977841,0.07906697967134509,0.0013248366100759316,0.04722304926492883,0.028054872158792356
24,051380,피씨디렉트,0.616429418742586,0.022917228363440276,0.02743832142033664,0.6204986149584488,1.0,0.0014215716727838438,0.036004334165853843,0.0394833484834181
25,024940,PN풍년,0.11886120996441281,0.012132650310056614,0.09914687572054416,0.10803324099722993,0.07572049348184406,0.001745563381295683,0.036038968959454104,0.048435441736958164
